mas284_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,total time gmic,total time vpc
197,86326.31126,86195.86303,86326.31126,21,0.015607,0.124142,0,0,0,12.20351,0.003407
198,86326.31077,86195.86303,86326.31077,21,0.015183,0.109925,0,0,0,12.328618,0.003407
199,86326.31116,86195.86303,86326.31116,23,0.016586,0.085313,0,0,0,12.430517,0.003407
200,86326.31319,86195.86303,86326.31319,23,0.016458,0.087726,0,0,0,12.534701,0.003407
201,86326.31589,86195.86303,86326.31589,23,0.016605,0.08234,0,0,0,12.633646,0.003407
202,86326.31686,86195.86303,86326.31686,21,0.01549,0.091134,0,0,0,12.74027,0.003407
203,86326.31923,86195.86303,86326.31923,21,0.015629,0.092392,0,0,0,12.848291,0.003407
204,86326.32117,86195.86303,86326.32117,23,0.018178,0.098321,0,0,0,12.96479,0.003407
205,86326.3222,86195.86303,86326.3222,23,0.017953,0.079391,0,0,0,13.062134,0.003407
206,86326.32319,86195.86303,86326.32319,22,0.016573,0.083356,0,0,0,13.162063,0.003407
207,86326.32404,86195.86303,86326.32404,23,0.016872,0.081951,0,0,0,13.260886,0.003407
208,86326.32505,86195.86303,86326.32505,21,0.016541,0.07758,0,0,0,13.355007,0.003407
209,86326.32602,86195.86303,86326.32602,21,0.016094,0.096186,0,0,0,13.467287,0.003407
210,86326.32642,86195.86303,86326.32642,22,0.016848,0.100306,0,0,0,13.584441,0.003407
211,86326.32685,86195.86303,86326.32685,22,0.016605,0.081877,0,0,0,13.682923,0.003407
212,86326.32726,86195.86303,86326.32726,22,0.016697,0.081887,0,0,0,13.781507,0.003407
213,86326.32756,86195.86303,86326.32756,21,0.016147,0.107765,0,0,0,13.905419,0.003407
214,86326.32796,86195.86303,86326.32796,22,0.016884,0.105017,0,0,0,14.02732,0.003407
215,86326.32812,86195.86303,86326.32812,22,0.017478,0.122733,0,0,0,14.167531,0.003407
